Energy_MeV,Element,Mu_over_rho,Mu_en_over_rho
0.001,6,2211.0,2209.0
0.002,6,302.6,301.6
0.003,6,90.33,89.63
0.004,6,37.78,37.23
0.005,6,19.12,18.66
0.006,6,10.95,10.54
0.007,6,7.763,7.391
0.008,6,4.576,4.242
0.009,6,3.4745,3.16
0.01,6,2.373,2.078
0.011,6,2.05982,1.77494
0.012,6,1.74664,1.47188
0.013,6,1.43346,1.16882
0.014,6,1.12028,0.86576
0.015,6,0.8071,0.5627
0.016,6,0.73408,0.49492
0.017,6,0.66106,0.42714
0.018,6,0.58804,0.35936
0.019,6,0.51502,0.29158
0.02,6,0.442,0.2238
0.021,6,0.42342,0.208034
0.022,6,0.40484,0.192268
0.023,6,0.38626,0.176502
0.024,6,0.36768,0.160736
0.025,6,0.3491,0.14497
0.026,6,0.33052,0.129204
0.027,6,0.31194,0.113438
0.028,6,0.29336,0.097672
0.029,6,0.27478,0.081906
0.03,6,0.2562,0.06614
0.031,6,0.25134,0.062869
0.032,6,0.24648,0.059598
0.033,6,0.24162,0.056327
0.034,6,0.23676,0.053056
0.035,6,0.2319,0.049785
0.036,6,0.22704,0.046514
0.037,6,0.22218,0.043243
0.038,6,0.21732,0.039972
0.039,6,0.21246,0.036701
0.04,6,0.2076,0.03343
0.041,6,0.20555,0.032484
0.042,6,0.2035,0.031538
0.043,6,0.20145,0.030592
0.044,6,0.1994,0.029646
0.045,6,0.19735,0.0287
0.046,6,0.1953,0.027754
0.047,6,0.19325,0.026808
0.048,6,0.1912,0.025862
0.049,6,0.18915,0.024916
0.05,6,0.1871,0.02397
0.051,6,0.18592,0.023671
0.052,6,0.18474,0.023372
0.053,6,0.18356,0.023073
0.054,6,0.18238,0.022774
0.055,6,0.1812,0.022475
0.056,6,0.18002,0.022176
0.057,6,0.17884,0.021877
0.058,6,0.17766,0.021578
0.059,6,0.17648,0.021279
0.06,6,0.1753,0.02098
0.061,6,0.174585,0.0209495
0.062,6,0.17387,0.020919
0.063,6,0.173155,0.0208885
0.064,6,0.17244,0.020858
0.065,6,0.171725,0.0208275
0.066,6,0.17101,0.020797
0.067,6,0.170295,0.0207665
0.068,6,0.16958,0.020736
0.069,6,0.168865,0.0207055
0.07,6,0.16815,0.020675
0.071,6,0.167435,0.0206445
0.072,6,0.16672,0.020614
0.073,6,0.166005,0.0205835
0.074,6,0.16529,0.020553
0.075,6,0.164575,0.0205225
0.076,6,0.16386,0.020492
0.077,6,0.163145,0.0204615
0.078,6,0.16243,0.020431
0.079,6,0.161715,0.0204005
0.08,6,0.161,0.02037
0.081,6,0.16052,0.020425
0.082,6,0.16004,0.02048
0.083,6,0.15956,0.020535
0.084,6,0.15908,0.02059
0.085,6,0.1586,0.020645
0.086,6,0.15812,0.0207
0.087,6,0.15764,0.020755
0.088,6,0.15716,0.02081
0.089,6,0.15668,0.020865
0.09,6,0.1562,0.02092
0.091,6,0.15572,0.020975
0.092,6,0.15524,0.02103
0.093,6,0.15476,0.021085
0.094,6,0.15428,0.02114
0.095,6,0.1538,0.021195
0.096,6,0.15332,0.02125
0.097,6,0.15284,0.021305
0.098,6,0.15236,0.02136
0.099,6,0.15188,0.021415
0.1,6,0.1514,0.02147
0.101,6,0.151066,0.0215304
0.102,6,0.150732,0.0215908
0.103,6,0.150398,0.0216512
0.104,6,0.150064,0.0217116
0.105,6,0.14973,0.021772
0.106,6,0.149396,0.0218324
0.107,6,0.149062,0.0218928
0.108,6,0.148728,0.0219532
0.109,6,0.148394,0.0220136
0.11,6,0.14806,0.022074
0.111,6,0.147726,0.0221344
0.112,6,0.147392,0.0221948
0.113,6,0.147058,0.0222552
0.114,6,0.146724,0.0223156
0.115,6,0.14639,0.022376
0.116,6,0.146056,0.0224364
0.117,6,0.145722,0.0224968
0.118,6,0.145388,0.0225572
0.119,6,0.145054,0.0226176
0.12,6,0.14472,0.022678
0.121,6,0.144386,0.0227384
0.122,6,0.144052,0.0227988
0.123,6,0.143718,0.0228592
0.124,6,0.143384,0.0229196
0.125,6,0.14305,0.02298
0.126,6,0.142716,0.0230404
0.127,6,0.142382,0.0231008
0.128,6,0.142048,0.0231612
0.129,6,0.141714,0.0232216
0.13,6,0.14138,0.023282
0.131,6,0.141046,0.0233424
0.132,6,0.140712,0.0234028
0.133,6,0.140378,0.0234632
0.134,6,0.140044,0.0235236
0.135,6,0.13971,0.023584
0.136,6,0.139376,0.0236444
0.137,6,0.139042,0.0237048
0.138,6,0.138708,0.0237652
0.139,6,0.138374,0.0238256
0.14,6,0.13804,0.023886
0.141,6,0.137706,0.0239464
0.142,6,0.137372,0.0240068
0.143,6,0.137038,0.0240672
0.144,6,0.136704,0.0241276
0.145,6,0.13637,0.024188
0.146,6,0.136036,0.0242484
0.147,6,0.135702,0.0243088
0.148,6,0.135368,0.0243692
0.149,6,0.135034,0.0244296
0.15,6,0.1347,0.02449
0.151,6,0.134464,0.0245312
0.152,6,0.134228,0.0245724
0.153,6,0.133992,0.0246136
0.154,6,0.133756,0.0246548
0.155,6,0.13352,0.024696
0.156,6,0.133284,0.0247372
0.157,6,0.133048,0.0247784
0.158,6,0.132812,0.0248196
0.159,6,0.132576,0.0248608
0.16,6,0.13234,0.024902
0.161,6,0.132104,0.0249432
0.162,6,0.131868,0.0249844
0.163,6,0.131632,0.0250256
0.164,6,0.131396,0.0250668
0.165,6,0.13116,0.025108
0.166,6,0.130924,0.0251492
0.167,6,0.130688,0.0251904
0.168,6,0.130452,0.0252316
0.169,6,0.130216,0.0252728
0.17,6,0.12998,0.025314
0.171,6,0.129744,0.0253552
0.172,6,0.129508,0.0253964
0.173,6,0.129272,0.0254376
0.174,6,0.129036,0.0254788
0.175,6,0.1288,0.02552
0.176,6,0.128564,0.0255612
0.177,6,0.128328,0.0256024
0.178,6,0.128092,0.0256436
0.179,6,0.127856,0.0256848
0.18,6,0.12762,0.025726
0.181,6,0.127384,0.0257672
0.182,6,0.127148,0.0258084
0.183,6,0.126912,0.0258496
0.184,6,0.126676,0.0258908
0.185,6,0.12644,0.025932
0.186,6,0.126204,0.0259732
