Energy_KeV,Photons_per_s
1,1.7144287459769121e-06
2,3.304115660253751e-08
3,1.4506614291733438e-94
4,1.7237454229718865e-44
5,7.582863177498143e-25
6,1.3560673220480046e-15
7,1.1153599449927428e-11
8,9.202074026025737e-08
9,2.948620010348926e-06
10,0.0005261642956241226
11,0.00010661768479267624
12,0.00022614436587926743
13,0.000566800126178184
14,0.001729379067033337
15,0.005255831962029924
16,0.007556157070943674
17,0.010781108880919267
18,0.01527315628383752
19,0.0214807857401831
20,0.02997674480202829
21,0.03465488730687233
22,0.039770479786309196
23,0.04534039981704642
24,0.051340501607670105
25,0.05776268835526948
26,0.06461933073313057
27,0.07187783871110885
28,0.0795249486429371
29,0.08754644829388415
30,0.09593757599954711
31,0.09985619313566084
32,0.10353099020049676
33,0.10695003261110478
34,0.11011896599051492
35,0.11303398574850647
36,0.11570642859684516
37,0.11813911414544083
38,0.12033988592090918
39,0.12232462598799691
40,0.1240983142609957
41,0.12446925269704032
42,0.12463819908335233
43,0.12463200173820002
44,0.12445957331673176
45,0.12414305078150538
46,0.12368735206491967
47,0.12310932359955919
48,0.12243073450059679
49,0.12165109146308373
50,0.12079506340531684
51,0.11949889788462373
52,0.11815175204451567
53,0.1167549373697536
54,0.11532191923775392
55,0.11385836839839848
56,0.11236792024847778
57,0.11086307310095825
58,0.9232250958974605
59,0.10780920268936589
60,0.10627030448480229
61,0.10460800943783921
62,0.1029456942198427
63,0.10129212186761356
64,0.09964578544234035
65,0.098010443327727
66,0.09639065445292136
67,0.6185192856401414
68,0.09319598488997524
69,0.1334961540860567
70,0.0587439355179129
71,0.05841176455209431
72,0.058079489405523106
73,0.05774436597211999
74,0.05739551477009803
75,0.057025634516236566
76,0.056640946917612046
77,0.056237532771835186
78,0.05581498341333097
79,0.05537628829068618
80,0.05492175146134864
81,0.054424766830938574
82,0.053914944512195015
83,0.05339370307702992
84,0.05286256901502536
85,0.052321951417613206
86,0.051773816786415724
87,0.05121865391179103
88,0.050657187785183445
89,0.05009127759860202
90,0.04952074258385986
91,0.048949356854191044
92,0.0483742391887092
93,0.047797284903229625
94,0.04721811593700421
95,0.046637720672356824
96,0.04605693394963853
97,0.045475594655644644
98,0.044895389744336156
99,0.0443151214067734
100,0.04373733650133403
101,0.043150167531631534
102,0.042565969649126664
103,0.041984258878824426
104,0.04140481689659749
105,0.040829253727622895
106,0.04025614581938557
107,0.03968751138532921
108,0.039121811788686144
109,0.03856098447069997
110,0.038003645174577404
111,0.037450721972690296
112,0.036902592408156236
113,0.03635852537951343
114,0.035819805471183325
115,0.035284496246793924
116,0.034755032563937575
117,0.03422933879637777
118,0.03370951328816197
119,0.03319403333469285
120,0.03268393211294191
121,0.03217919430316021
122,0.03167908521391485
123,0.031184871118034436
124,0.030694908751230304
125,0.030211057090628556
126,0.029730602638214355
127,0.02925626387802045
128,0.028786178349663932
129,0.028321804849006735
130,0.027862330732653196
131,0.02740769647295337
132,0.02695847431177068
133,0.026513282533768324
134,0.026074054232917757
135,0.02563893696592811
136,0.025209781789322983
137,0.02478449702360411
138,0.024364620920017666
139,0.02394895686296085
140,0.023537846116678918
141,0.02313140943676194
142,0.022728812545921663
143,0.02233156562612028
144,0.021937919152485864
145,0.021549516661969748
146,0.0211647266495125
147,0.02078490174520768
148,0.02040888565619729
149,0.020037248910861956
150,0.019669733205740534
151,0.019304001689626246
152,0.018942840460640775
153,0.01858513452779777
154,0.018232065800853414
155,0.01788237071595043
156,0.017537045020131783
157,0.01719514395434308
158,0.016857129797757775
159,0.01652287785735894
160,0.01619211352934523
161,0.015865211041039204
162,0.015541358606439135
163,0.015221181665219354
164,0.014904009254753013
165,0.014590541725397511
166,0.014280035155137163
167,0.013972843395774918
168,0.013668725340758602
169,0.013367606817929405
170,0.01306957742187508
171,0.012774273393808537
172,0.012482053362514707
173,0.012192582082257493
174,0.011906129173420044
175,0.011622169070656791
176,0.011340877315469454
177,0.011062072668216297
178,0.010785994788171252
179,0.010512277207880371
180,0.010241065122553572
181,0.009972130262814672
182,0.009705600932595959
183,0.009441270067866882
184,0.009179102398875417
185,0.008919117491723666
186,0.008661097859996757
187,0.00840534879374998
188,0.008151358209549122
189,0.007899651566359444
190,0.007649545616845112
191,0.007401570079859572
192,0.007155151740074317
193,0.006910536665653718
194,0.0066675413173247705
195,0.006426031733975769
196,0.006186315647959963
197,0.005947743162632607
198,0.00571106981955283
199,0.0054752510043603216
200,0.005241250562996823
201,0.005007906101162441
202,0.004776177354167944
203,0.004545703225535437
204,0.004316499377841223
205,0.004088882757733654
206,0.003862193431143907
207,0.003637388537938162
208,0.003413430413378797
209,0.00319167407169095
210,0.0029710919302396404
211,0.002752770970712622
212,0.002536298034951231
213,0.0023222662504995047
214,0.002110955163540311
215,0.0019023151480779977
216,0.0016972788384831273
217,0.0014957302348958387
218,0.0012990208237548013
219,0.0011077701541188595
220,0.0009208831848572735
221,0.000743978404465267
222,0.0005686319665285526
223,0.00040273671841962875
224,0.00021829867760575643
225,2.727017404188891e-07
