Energy_keV,Relative_Intensity
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.02702702703
12,0.07807807808
13,0.1291291291
14,0.1801801802
15,0.2312312312
16,0.2822822823
17,0.3333333333
18,0.3843843844
19,0.4354354354
20,0.4864864865
21,0.5315315315
22,0.5765765766
23,0.6216216216
24,0.6666666667
25,0.7117117117
26,0.7567567568
27,0.7756756757
28,0.7918918919
29,0.7972972973
30,0.8054054054
31,0.8027027027
32,0.8027027027
33,0.8
34,0.7986486486
35,0.7972972973
36,0.7945945946
37,0.7898648649
38,0.7851351351
39,0.7804054054
40,0.7756756757
41,0.7710810811
42,0.7664864865
43,0.7618918919
44,0.7572972973
45,0.7527027027
46,0.7481081081
47,0.7435135135
48,0.7389189189
49,0.7343243243
50,0.7297297297
51,0.7239382239
52,0.7181467181
53,0.7123552124
54,0.7065637066
55,0.7007722008
56,0.694980695
57,0.6891891892
58,0.8648648649
59,1
60,0.6756756757
61,0.6711711712
62,0.6666666667
63,0.6621621622
64,0.6576576577
65,0.6531531532
66,0.6486486486
67,0.7297297297
68,0.6486486486
69,0.7027027027
70,0.6216216216
71,0.6140540541
72,0.6064864865
73,0.5989189189
74,0.5913513514
75,0.5837837838
76,0.5762162162
77,0.5686486486
78,0.5610810811
79,0.5535135135
80,0.5459459459
81,0.5383783784
82,0.5308108108
83,0.5232432432
84,0.5156756757
85,0.5081081081
86,0.5037837838
87,0.4994594595
88,0.4951351351
89,0.4908108108
90,0.4864864865
91,0.4830830831
92,0.4796796797
93,0.4762762763
94,0.4728728729
95,0.4694694695
96,0.4660660661
97,0.4626626627
98,0.4592592593
99,0.4558558559
100,0.4524524525
101,0.449049049
102,0.4456456456
103,0.4422422422
104,0.4388388388
105,0.4354354354
106,0.432032032
107,0.4286286286
108,0.4252252252
109,0.4218218218
110,0.4184184184
111,0.415015015
112,0.4116116116
113,0.4082082082
114,0.4048048048
115,0.4014014014
116,0.397997998
117,0.3945945946
118,0.3911911912
119,0.3877877878
120,0.3843843844
121,0.380980981
122,0.3775775776
123,0.3741741742
124,0.3707707708
125,0.3673673674
126,0.363963964
127,0.3605605606
128,0.3571571572
129,0.3537537538
130,0.3503503504
131,0.3469469469
132,0.3435435435
133,0.3401401401
134,0.3367367367
135,0.3333333333
136,0.3299299299
137,0.3265265265
138,0.3231231231
139,0.3197197197
140,0.3163163163
141,0.3129129129
142,0.3095095095
143,0.3061061061
144,0.3027027027
145,0.2992992993
146,0.2958958959
147,0.2924924925
148,0.2890890891
149,0.2856856857
150,0.2822822823
151,0.2788788789
152,0.2754754755
153,0.2720720721
154,0.2686686687
155,0.2652652653
156,0.2618618619
157,0.2584584585
158,0.2550550551
159,0.2516516517
160,0.2482482482
161,0.2448448448
162,0.2414414414
163,0.238038038
164,0.2346346346
165,0.2312312312
166,0.2278278278
167,0.2244244244
168,0.221021021
169,0.2176176176
170,0.2142142142
171,0.2108108108
172,0.2074074074
173,0.204004004
174,0.2006006006
175,0.1971971972
176,0.1937937938
177,0.1903903904
178,0.186986987
179,0.1835835836
180,0.1801801802
181,0.1767767768
182,0.1733733734
183,0.16996997
184,0.1665665666
185,0.1631631632
186,0.1597597598
187,0.1563563564
188,0.152952953
189,0.1495495495
190,0.1461461461
191,0.1427427427
192,0.1393393393
193,0.1359359359
194,0.1325325325
195,0.1291291291
196,0.1257257257
197,0.1223223223
198,0.1189189189
199,0.1155155155
200,0.1121121121
201,0.1087087087
202,0.1053053053
203,0.1019019019
204,0.0984984985
205,0.0950950951
206,0.09169169169
207,0.08828828829
208,0.08488488488
209,0.08148148148
210,0.07807807808
211,0.07467467467
212,0.07127127127
213,0.06786786787
214,0.06446446446
215,0.06106106106
216,0.05765765766
217,0.05425425425
218,0.05085085085
219,0.04744744745
220,0.04404404404
221,0.04064064064
222,0.03723723724
223,0.03383383383
224,0.03043043043
225,0.02702702703
