E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_1.56keV,subshell_MT535_0.12keV,subshell_MT536_0.08keV,subshell_MT537_0.08keV,subshell_MT538_0.01keV,subshell_MT539_0.01keV,subshell_MT540_0.01keV
1.0,5102.826989660904,7.219964917986856,0.06151716879253072,0.0,0.0,0.0,5095.545507856755,0.0,2390.5699369454633,847.6585290549239,1670.7458803393179,171.30279962856665,5.142672054952213,10.125688521070444
2.0,9726.969201107147,7.772612727879971,0.14552567842179498,0.0,0.0,0.0,9719.050991656079,8933.637348046917,488.6510922085277,87.9309492235151,172.55480117071377,34.63589284408413,0.5542728917159603,1.0866633936608272
3.0,3397.151342497649,7.331449439595485,0.2037594088119075,0.0,0.0,0.0,3389.616136008944,3135.7282512614847,177.1117284784597,21.603539028020744,42.20461656000693,12.561491396039962,0.1379669663970738,0.26854231128629263
4.0,1554.2539184281115,6.2735984041673385,0.2509137105237989,0.0,0.0,0.0,1547.7294100497743,1435.4444284656015,83.37848891271786,7.747558166950909,15.083948293590431,5.928477001309013,0.04978073452270432,0.0967260645779725
5.0,833.4761707192905,5.354446655100477,0.2929174970513991,0.0,0.0,0.0,827.8288065346973,768.6425508743223,45.753642242602105,3.438700907418644,6.678679986627552,3.250032261703068,0.02219588472174452,0.04300423046701336
6.0,496.7693600698509,4.575523709091539,0.33251225807246476,0.0,0.0,0.0,491.861324242814,457.01488056687975,27.6951894838595,1.7520677557449449,3.397108746647132,1.968797644895666,0.01134254461396982,0.02193727334875429
7.0,319.31545153032187,3.920756289713808,0.3686755743926014,0.0,0.0,0.0,315.0260205240142,292.8333117604598,18.005022582270538,0.9839843180533143,1.9041990007857446,1.2807973611586765,0.006386080483643981,0.012318980011601978
8.0,217.03942504386575,3.3687305883019594,0.4021527110796342,0.0,0.0,0.0,213.26854191518728,198.3129275201638,12.326980668194876,0.5936076908323551,1.1463251645950732,0.8774004020416264,0.003861388265447469,0.0074388911497870235
9.0,153.96491230885633,2.9168221254168825,0.43073393604906035,0.0,0.0,0.0,150.6173564314031,140.0823438057113,8.792096877070309,0.3789512010966901,0.7298242053729961,0.6269281856576389,0.002468933532455466,0.00474328600426491
10.0,113.12687751259972,2.538520287473449,0.4580881651563894,0.0,0.0,0.0,110.1302684697644,102.4451001804139,6.479280785028833,0.2527771879546532,0.48624936225457527,0.46205066616612944,0.001647601662973027,0.0031628437314805405
