E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_80.73keV,subshell_MT535_14.36keV,subshell_MT536_13.74keV,subshell_MT537_11.92keV,subshell_MT538_3.43keV,subshell_MT539_3.15keV,subshell_MT540_2.75keV,subshell_MT541_2.29keV,subshell_MT542_2.21keV,subshell_MT543_0.76keV,subshell_MT544_0.65keV,subshell_MT545_0.55keV,subshell_MT546_0.36keV,subshell_MT547_0.34keV,subshell_MT548_0.09keV,subshell_MT549_0.09keV,subshell_MT550_0.11keV,MT551,MT552,MT553,MT554,MT559
1.0,28894.02622233594,37.728872023255626,0.02032511373956141,0.0,0.0,0.0,28856.27689452959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.6603525468033,747.7803967156714,2532.148604368265,3596.489535792841,5447.638841981098,6096.14790659315,7820.355469543752,224.0685412994974,195.02073662506734,518.4406673867738,366.9574412250962,520.4730598518506,10.095393452782476
2.0,7024.570744363183,25.411354108380934,0.055782722410065946,0.0,0.0,0.0,6999.103610352573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.35244513018586,399.39949705879366,978.6486947896483,1220.0327940877453,1740.2277702013698,762.1592798780043,964.181884418484,77.41904011620836,79.37422894602656,175.15647065157128,112.82696962708472,152.9485067207154,3.376022764463297
3.0,12767.89394242616,49.16652942442229,0.09086955106558683,0.0,0.0,0.0,12718.63654054218,0.0,0.0,0.0,0.0,0.0,0.0,1892.1284965393124,3338.9777589223904,4669.147085473539,180.66265824208142,226.74203967145942,492.1347004015693,507.305692137635,706.3879813821163,189.62909797217577,237.63117352928234,39.68936357034112,42.43775101174312,85.271942846179,46.77354562024471,62.00310337571651,1.7141547346924904
4.0,7115.356404905121,51.886416757331276,0.12425484517095882,0.0,0.0,0.0,7063.345723657337,0.0,0.0,0.0,0.0,347.11549062804903,516.9258067731824,1165.0070506853303,1515.4967594568427,2081.4040378281998,112.79423285611273,142.14434138261166,286.7893983177494,250.47445674932555,342.825787916413,66.17796803218529,82.47200916584359,24.164060900402134,25.965653582348764,49.10147591322921,23.189371689988207,30.257539910261947,1.0402867984061275
5.0,4141.068132739327,47.18684833999909,0.1561658286137241,0.0,0.0,0.0,4093.725119373599,0.0,0.0,0.0,0.0,250.7675156676529,371.14267060850096,767.6906333449854,791.3074790771932,1071.8200845350746,76.76084340766522,95.80189626446314,183.66574071865202,138.95779091235997,187.62392749375923,28.26535400861361,35.002121641983635,16.2279360316362,17.29908250369857,31.224957699728787,12.933978628479709,16.53022124736161,0.7028894000127173
6.0,2640.848775343527,41.72437887504242,0.1865945967153685,0.0,0.0,0.0,2598.9377978225116,0.0,0.0,0.0,0.0,189.74771869909807,271.9234821870768,532.9954053481118,455.22784869307924,610.4858096069214,55.55934721191125,68.02562782126213,125.27492667130826,83.73772519883192,111.81030189035674,13.817694258699738,17.023058287590043,11.634286467875773,12.194046743035516,21.24941795817217,7.833067382790462,9.897463980542149,0.500578098045605
7.0,1795.6724462428776,36.632412661148756,0.21511783818305286,0.0,0.0,0.0,1758.8249149742596,0.0,0.0,0.0,0.0,146.9430167804611,205.76592382107572,383.9531380883716,281.08876295065954,373.48988123523907,41.924517766875134,50.26684780404247,89.6807722854006,53.621076705514675,70.90905965354668,7.437514114503965,9.123315557645817,8.73622632100626,8.982330158839828,15.175803822907291,5.041693424073812,6.3102220122389365,0.37481296547889825
8.0,1283.7139612291442,32.146449830647605,0.2425877357642041,0.0,0.0,0.0,1251.324922998314,0.0,0.0,0.0,0.0,117.10264357800011,158.62849224421043,286.62348848828714,183.59853839624714,242.11356769953096,32.72043429652535,38.34526213013002,66.51215022381686,36.05272580329748,47.285465262273135,4.30733354078603,5.267499290057659,6.787954232047273,6.829336982335391,11.236655640315096,3.401701567728376,4.220536131657492,0.2911379233608814
9.0,952.6219179534463,28.06525010328857,0.2665687362470047,0.0,0.0,0.0,924.290099353827,0.0,0.0,0.0,0.0,95.13758470544083,125.2568535045653,219.27581502795212,125.21879992354562,163.80053621079165,26.217831297912475,29.960379536776355,50.729847397211465,25.199434623418128,32.760096331630955,2.643759200307434,3.2218510897739647,5.410894340445587,5.327919092260405,8.577509658025663,2.3839910507748434,2.9346483570335375,0.2323475316907455
10.0,728.1140093830347,24.26420794620244,0.2900519550957983,0.0,0.0,0.0,703.5597495977536,0.0,0.0,0.0,0.0,78.75044224818879,100.40784865403351,171.42858760354704,88.41099507912848,114.85475479747889,21.412949508319613,23.923336663215316,39.63677890065947,18.150899745694993,23.452234273397348,1.6995852981504327,2.0607402900464336,4.41372615606609,4.245597954974576,6.694918370017761,1.7215136938221256,2.1056128641850527,0.18922662017409458
