Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
79,19.32,501,total_interaction,,,11501
79,19.32,502,MT502,,,371
79,19.32,504,MT504,,,395
79,19.32,515,MT515,,,206
79,19.32,516,MT516,,,426
79,19.32,517,MT517,,,278
79,19.32,522,photoelectric_total,,,10420
79,19.32,534,subshell_MT534_80.73keV,80729.0,,388
79,19.32,535,subshell_MT535_14.36keV,14356.0,,457
79,19.32,536,subshell_MT536_13.74keV,13738.0,,487
79,19.32,537,subshell_MT537_11.92keV,11923.0,,514
79,19.32,538,subshell_MT538_3.43keV,3430.0,,506
79,19.32,539,subshell_MT539_3.15keV,3153.0,,533
79,19.32,540,subshell_MT540_2.75keV,2748.0,,559
79,19.32,541,subshell_MT541_2.29keV,2295.0,,640
79,19.32,542,subshell_MT542_2.21keV,2210.0,,643
79,19.32,543,subshell_MT543_0.76keV,764.0,,547
79,19.32,544,subshell_MT544_0.65keV,645.0,,563
79,19.32,545,subshell_MT545_0.55keV,548.0,,597
79,19.32,546,subshell_MT546_0.36keV,357.0,,692
79,19.32,547,subshell_MT547_0.34keV,339.0,,689
79,19.32,548,subshell_MT548_0.09keV,91.0,,872
79,19.32,549,subshell_MT549_0.09keV,87.0,,871
79,19.32,550,subshell_MT550_0.11keV,114.0,,599
79,19.32,551,MT551,76.0,,661
79,19.32,552,MT552,61.0,,688
79,19.32,553,MT553,12.5,,813
79,19.32,554,MT554,11.1,,810
79,19.32,559,MT559,9.23,,711
