E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_88.01keV,subshell_MT535_15.87keV,subshell_MT536_15.21keV,subshell_MT537_13.04keV,subshell_MT538_3.86keV,subshell_MT539_3.56keV,subshell_MT540_3.07keV,subshell_MT541_2.59keV,subshell_MT542_2.49keV,subshell_MT543_0.90keV,subshell_MT544_0.77keV,subshell_MT545_0.65keV,subshell_MT546_0.44keV,subshell_MT547_0.42keV,subshell_MT548_0.15keV,subshell_MT549_0.14keV,subshell_MT550_0.15keV,MT551,MT552,MT553,MT554,MT559,MT560,MT561
1.0,33239.30998520029,40.47920078571962,0.0229201918329692,0.0,0.0,0.0,33198.807996469666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.2797293121854,680.4496473855239,2605.2228345641224,3688.8388799565632,5662.26929768329,7629.1893330251,9797.04652632424,245.54618075862237,212.64126800581408,610.32178534485,513.7645609962891,749.5502596117516,33.828431165837415,6.15715792169075,13.702042453787548
2.0,8171.752252677134,33.058378854962285,0.06154132514393749,0.0,0.0,0.0,8138.632330157787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0889356412566,398.16723024971213,1039.296961955402,1347.1772231846571,1929.7505807658074,1011.8154348792617,1279.4035311973419,86.13549577928626,89.3369103942792,208.13996855150577,164.49515792742366,228.4252267736479,11.35788428782267,2.470831924593531,4.570958052276658
3.0,12455.440310957647,41.60686013070209,0.09750802571163084,0.0,0.0,0.0,12413.735953941657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.5133474045006,5323.547791208361,186.66697112176388,234.4164689360439,530.5021384177668,578.2862449028096,805.0633671324866,258.7483973051389,324.06841840259665,44.527215070772314,48.758519500299656,102.27549806123339,70.08120019130922,94.91316805657942,5.7988386952262765,1.3330776233315649,2.235285244205056
4.0,7982.2065136295205,51.81353879852596,0.13049235700096912,0.0,0.0,0.0,7930.262466733561,0.0,0.0,0.0,0.0,342.578704280898,512.8065849206847,1228.1209320739783,1756.6412881557358,2408.8664194668672,117.84164365707943,150.0740896776741,312.44897422932195,291.23226071821045,398.12877107327245,92.05559256310825,114.4016063582186,27.30770446616279,30.291712263906273,59.37131275874376,35.37573755537067,47.07446802762165,3.525176368617081,0.8254551856351183,1.2940409912514417
5.0,4668.027080089367,49.41094649286472,0.16136187614019312,0.0,0.0,0.0,4618.454767030353,0.0,0.0,0.0,0.0,253.49939418422449,377.2904022170552,819.933682209795,927.6301355384185,1254.225878177686,80.86477841023776,102.67558230596052,201.78657082983858,163.81221284748636,220.75649966882725,39.842456637380394,49.23239541766928,18.422019365614943,20.419067498676366,38.021722361644414,20.02642507944633,26.27057673951619,2.3632818093622006,0.5547281907374514,0.8269619277220379
6.0,2981.7986439357414,44.297133562413634,0.19041174735490096,0.0,0.0,0.0,2937.3110961763714,0.0,0.0,0.0,0.0,192.5748549989563,284.06427285743484,572.0880954475178,537.6385243306416,718.5469834798829,58.808668264235166,73.7487108621781,138.52078895157325,99.88570442819892,132.952803283,19.68190594624633,24.1846606715934,13.265232996970145,14.527215103847226,26.020653511043967,12.250608644837008,15.890351673419744,1.699926258657009,0.39501822840618384,0.5661214382987114
7.0,2034.4762464184362,39.21660668774346,0.21798510286822076,0.0,0.0,0.0,1995.041658314502,0.0,0.0,0.0,0.0,151.05092789004007,216.90963496171608,416.68318628380194,334.9365409946396,443.0337858969728,44.60958302620731,55.038738523555274,99.715734632142,64.5693272286934,85.11836569490735,10.673830115980019,13.069530135970961,9.993218426976682,10.78262028231854,18.678357999896246,7.964747526812039,10.230993604427125,1.28378197911322,0.2927336003405516,0.40601391215560095
8.0,1456.4575217702352,34.643958138923594,0.2447366934064417,0.0,0.0,0.0,1421.5688273852443,0.0,0.0,0.0,0.0,121.02981853714957,169.72447517838745,312.2791879674615,219.86772674495884,288.63122036136957,34.95735265170035,42.284296818757106,74.30406077340092,43.75725405090397,57.155090842412775,6.222902718074731,7.5958557536009215,7.796182571614595,8.25100704645948,13.886822702809974,5.408474824588898,6.888413180138668,1.00262329530671,0.22401012765060987,0.30205067961177756
9.0,1082.5715909378714,30.564323476614547,0.26861902502299767,0.0,0.0,0.0,1051.7386477872074,0.0,0.0,0.0,0.0,98.94750402544612,134.89288405281727,240.36742344993772,150.7948714986197,196.13321303953668,28.083620762507238,33.28624093041551,56.90695808133036,30.755352489356163,39.86322020966658,3.843625677365584,4.666995420238932,6.231647548657079,6.4762474511302415,10.635295619983792,3.8198764517395527,4.82384535338619,0.8025976962605422,0.1759048439506621,0.2313230679514151
10.0,829.1409050233356,26.866859373414965,0.29198145761471733,0.0,0.0,0.0,801.982062499569,0.0,0.0,0.0,0.0,82.1475920168119,109.25687432547691,188.82409323324015,106.92751131236868,138.20440931040125,23.001493391299853,26.69686432879913,44.62192355517925,22.292905003190402,28.659649905919103,2.480216927404878,3.013033748387927,5.094361842629315,5.186985071555287,8.332111649750093,2.783079620455591,3.481543150139619,0.6553040726739393,0.14101502770095806,0.18109584938064785
11.0,650.2172174678022,23.409576248629122,0.3119272071551419,0.0,0.0,0.0,626.4957141418009,0.0,0.0,0.0,0.0,69.27093373195945,89.4650809626578,150.9912271958293,78.015108545985,100.1882191766624,19.17595531834177,21.77515306402438,35.648490331419865,16.559557507286875,21.153923487191626,1.6630262067273183,2.0191061578938307,4.234038707925975,4.232784113525953,6.651093591064732,2.077511434225883,2.569645210496618,0.5452823384815012,0.11495525275710243,0.1446222704019031
12.0,519.9504985119586,19.725637133785753,0.33133692250150193,0.0,0.0,0.0,499.89352519235246,0.0,0.0,0.0,0.0,58.995005878173004,74.39178545889894,122.66183786689815,58.37939730389342,74.48944407021186,16.202647882898084,18.045426788496457,28.964611092305017,12.577247006807532,15.970605425906767,1.1488620687648459,1.396890143291753,3.575065404221065,3.496868164893711,5.404214803770914,1.5828631146585734,1.9390389193847917,0.4592235053334754,0.0949659105449697,0.11752417001316551
13.0,420.161675178802,14.076221234659563,0.3492443065550014,0.0,0.0,0.0,405.7362097323072,0.0,0.0,0.0,0.0,50.883294985974096,62.48993790325115,101.05101782431616,44.50966067108394,56.44013916390105,13.870864730298663,15.11010535171795,23.84026018148736,9.734708112848661,12.287435497884097,0.8155490275851336,0.9891852825806975,3.0509941002647722,2.927138635325164,4.4490621280958615,1.2253438301252397,1.4930070402681415,0.39227579533114554,0.07955833603406413,0.09667054522125236
14.0,854.1672802529092,17.099327984752616,0.36521547241600216,0.0,0.0,0.0,836.7027365485411,0.0,0.0,0.0,502.6188348187315,44.2037851319698,52.9556067263589,84.07046382666961,34.580933770435415,43.62884783288409,11.976862678171345,12.791274985024577,19.86584218811528,7.657411319690746,9.604061727388217,0.5930888027238788,0.7160151797823587,2.633406431471862,2.4792892192317453,3.7073567330734827,0.9645447816076738,1.16893925128065,0.33823015981332016,0.06732430687594572,0.08061727276976767
15.0,709.7511790161938,15.102518762524062,0.3805587009019855,0.0,0.0,0.0,694.2681004466617,0.0,0.0,0.0,415.4319390282859,38.757094500321514,45.376252605513194,70.78221398832842,27.265592622387683,34.21466698756461,10.44633943685301,10.936376578778415,16.724057634346412,6.101807836293825,7.615066156403287,0.43896663348416404,0.5286059757363459,2.293298720063699,2.1161662865731046,3.120268383042864,0.7700033813720815,0.9295308497659192,0.294447825974944,0.05754765524937813,0.06785778290655352
16.0,961.6902366059267,16.051240047938236,0.39544368105256755,0.0,0.0,0.0,945.2435532795241,0.0,128.7277533984546,234.3281147223309,347.02594953525437,34.17604315199379,39.09084458947507,60.04279061905426,21.80532084441607,27.233208973976158,9.181576009331916,9.422578274246995,14.204720613527623,4.930297666650823,6.121070645403528,0.3313625051002884,0.39717842599304903,2.0126359907672957,1.8244045491194256,2.652675188488047,0.6216684419079125,0.7474705483309622,0.2586846621033529,0.04957548455945353,0.05762880659406184
17.0,826.9509936438051,16.197981454518803,0.40825773664778886,0.0,0.0,0.0,810.3447537104012,0.0,115.79367762447569,201.10785401792396,292.9964974055718,30.386912239699488,33.95179264248842,51.4382616498164,17.63845298404013,21.925112572642945,8.12308334846805,8.181432513996585,12.17545157524615,4.023285271230688,4.9718145457457785,0.25351170446374954,0.3030760008002894,1.7809035579254617,1.5825299007250508,2.2734219626994596,0.5081958637293085,0.6085510449637822,0.22852812820196428,0.04303760750048616,0.0493698223892387
